,Scores,Metric,Model
0,0.9620184538942138,AUC,Enrichment
1,0.9591881719541294,AUC,Enrichment
2,0.9558439952330626,AUC,Enrichment
3,0.9587061737495055,AUC,Enrichment
4,0.9633690641791453,AUC,Enrichment
5,0.9526564389979586,AUC,Enrichment
6,0.9691926445326801,AUC,Enrichment
7,0.9641010447702792,AUC,Enrichment
8,0.9549697475264776,AUC,Enrichment
9,0.9580347252051636,AUC,Enrichment
10,0.86875,F1,Enrichment
11,0.8475177304964538,F1,Enrichment
12,0.8700361010830325,F1,Enrichment
13,0.8395904436860069,F1,Enrichment
14,0.8678571428571429,F1,Enrichment
15,0.8624787775891342,F1,Enrichment
16,0.851520572450805,F1,Enrichment
17,0.8706739526411658,F1,Enrichment
18,0.8446601941747574,F1,Enrichment
19,0.8648648648648649,F1,Enrichment
20,0.9074889867841409,Accuracy,Enrichment
21,0.9052863436123348,Accuracy,Enrichment
22,0.920704845814978,Accuracy,Enrichment
23,0.8964757709251101,Accuracy,Enrichment
24,0.9185022026431718,Accuracy,Enrichment
25,0.9107929515418502,Accuracy,Enrichment
26,0.9085903083700441,Accuracy,Enrichment
27,0.9218061674008811,Accuracy,Enrichment
28,0.8941565600882029,Accuracy,Enrichment
29,0.9173098125689085,Accuracy,Enrichment
30,0.8501529051987767,Recall,Enrichment
31,0.8047138047138047,Recall,Enrichment
32,0.8426573426573427,Recall,Enrichment
33,0.8013029315960912,Recall,Enrichment
34,0.801980198019802,Recall,Enrichment
35,0.8438538205980066,Recall,Enrichment
36,0.8350877192982457,Recall,Enrichment
37,0.8269896193771626,Recall,Enrichment
38,0.8006134969325154,Recall,Enrichment
39,0.8450704225352113,Recall,Enrichment
40,0.8881789137380192,Precision,Enrichment
41,0.8951310861423221,Precision,Enrichment
42,0.8992537313432836,Precision,Enrichment
43,0.8817204301075269,Precision,Enrichment
44,0.9455252918287937,Precision,Enrichment
45,0.8819444444444444,Precision,Enrichment
46,0.8686131386861314,Precision,Enrichment
47,0.9192307692307692,Precision,Enrichment
48,0.8938356164383562,Precision,Enrichment
49,0.8856088560885609,Precision,Enrichment
